iter	Passed	Remaining
777	3036	866
778	3040	862
779	3045	858
780	3049	855
781	3053	851
782	3057	847
783	3061	843
784	3065	839
785	3068	835
786	3072	831
787	3076	827
788	3080	823
789	3084	819
790	3088	815
791	3091	812
792	3095	808
793	3099	804
794	3103	800
795	3107	796
796	3111	792
797	3115	788
798	3119	784
799	3123	780
800	3127	777
801	3131	773
802	3135	769
803	3139	765
804	3143	761
805	3147	757
806	3151	753
807	3155	749
808	3159	745
809	3163	741
810	3166	738
811	3170	734
812	3174	730
813	3178	726
814	3182	722
815	3186	718
816	3190	714
817	3193	710
818	3197	706
819	3201	702
820	3205	698
821	3209	694
822	3213	691
823	3217	687
824	3220	683
825	3224	679
826	3228	675
827	3232	671
828	3236	667
829	3240	663
830	3244	659
831	3248	655
832	3251	651
833	3255	647
834	3259	644
835	3262	640
836	3266	636
837	3270	632
838	3274	628
839	3278	624
840	3282	620
841	3286	616
842	3290	612
843	3293	608
844	3297	604
845	3301	600
846	3305	597
847	3308	593
848	3312	589
849	3316	585
850	3320	581
851	3324	577
852	3328	573
853	3332	569
854	3336	565
855	3340	561
856	3344	558
857	3348	554
858	3352	550
859	3355	546
860	3359	542
861	3363	538
862	3367	534
863	3371	530
864	3374	526
865	3378	522
866	3382	518
867	3386	514
868	3390	511
869	3393	507
870	3397	503
871	3401	499
872	3405	495
873	3409	491
874	3413	487
875	3416	483
876	3420	479
877	3424	475
878	3428	471
879	3431	467
880	3436	464
881	3439	460
882	3443	456
883	3448	452
884	3451	448
885	3455	444
886	3459	440
887	3463	436
888	3467	432
889	3471	429
890	3475	425
891	3479	421
892	3483	417
893	3487	413
894	3490	409
895	3494	405
896	3498	401
897	3502	397
898	3506	393
899	3510	390
900	3514	386
901	3518	382
902	3521	378
903	3525	374
904	3529	370
905	3533	366
906	3537	362
907	3541	358
908	3545	354
909	3549	351
910	3553	347
911	3557	343
912	3560	339
913	3564	335
914	3568	331
915	3572	327
916	3575	323
917	3579	319
918	3583	315
919	3586	311
920	3590	308
921	3594	304
922	3598	300
923	3601	296
924	3605	292
925	3609	288
926	3613	284
927	3617	280
928	3620	276
929	3624	272
930	3627	268
931	3632	265
932	3635	261
933	3639	257
934	3643	253
935	3647	249
936	3650	245
937	3654	241
938	3659	237
939	3662	233
940	3666	229
941	3670	225
942	3674	222
943	3677	218
944	3681	214
945	3685	210
946	3689	206
947	3693	202
948	3697	198
949	3701	194
950	3705	190
951	3709	187
952	3713	183
953	3717	179
954	3721	175
955	3724	171
956	3728	167
957	3733	163
958	3736	159
959	3740	155
960	3744	151
961	3748	148
962	3752	144
963	3755	140
964	3759	136
965	3763	132
966	3768	128
967	3772	124
968	3776	120
969	3780	116
970	3783	113
971	3788	109
972	3792	105
973	3795	101
974	3799	97
975	3803	93
976	3807	89
977	3811	85
978	3815	81
979	3819	77
980	3822	74
981	3826	70
982	3830	66
983	3834	62
984	3838	58
985	3842	54
986	3846	50
987	3850	46
988	3854	42
989	3858	38
990	3862	35
991	3866	31
992	3870	27
993	3874	23
994	3878	19
995	3881	15
996	3885	11
997	3889	7
998	3893	3
999	3897	0
